user,churn,age,housing,purchases_partners,cc_application_begin,app_downloaded,web_user,android_user,payment_type,zodiac_sign,left_for_two_month_plus,left_for_one_month,reward_rate,is_referred
67319,0,24.0,na,23,0,1,1,0,Weekly,Capricorn,1,0,0.37,0
5543,0,23.0,R,8,4,1,1,1,Bi-Weekly,na,1,0,2.2,1
40794,1,23.0,na,7,1,1,0,0,na,Scorpio,0,0,0.0699999999999999,0
7639,0,53.0,R,33,4,1,1,0,Bi-Weekly,Scorpio,0,1,1.13,0
29996,0,51.0,na,7,11,1,1,0,Semi-Monthly,Aries,0,0,0.2,1
48077,0,32.0,R,46,2,1,1,0,Monthly,na,1,0,0.5700000000000001,1
49940,1,31.0,R,8,19,1,1,1,na,Cancer,0,0,0.77,1
58408,1,23.0,na,0,0,1,1,0,Bi-Weekly,Sagittarius,0,0,0.1,0
51966,0,30.0,O,12,3,1,1,1,Semi-Monthly,Gemini,0,0,0.33,1
45988,0,23.0,na,3,0,1,0,1,Weekly,Cancer,0,0,0.0,0
65841,0,44.0,na,4,0,1,1,1,Bi-Weekly,Cancer,0,0,1.0,1
45662,0,17.0,na,1,0,1,0,0,Bi-Weekly,Scorpio,1,0,0.0699999999999999,0
57625,0,30.0,na,0,0,1,1,0,Weekly,Virgo,1,0,0.2,0
57694,0,25.0,na,11,1,1,0,0,Weekly,Aries,1,0,0.33,0
26692,1,24.0,na,0,0,1,1,1,Bi-Weekly,Leo,0,0,0.12,0
20195,0,48.0,R,0,4,1,1,1,Semi-Monthly,na,0,0,2.2,0
7938,1,19.0,R,12,3,1,0,1,Weekly,Virgo,0,0,0.0,0
53389,0,34.0,R,0,4,1,0,1,Bi-Weekly,Sagittarius,0,0,2.17,1
48448,0,21.0,R,51,4,1,0,1,Bi-Weekly,Scorpio,0,0,0.7,1
30635,0,23.0,na,37,0,1,0,1,Weekly,Taurus,0,0,0.6,1
20076,0,30.0,na,20,2,1,0,0,Semi-Monthly,Aquarius,0,0,0.56,0
29430,0,48.0,na,20,2,1,0,1,Weekly,Cancer,0,0,0.0,0
3243,1,20.0,O,49,3,1,1,1,Bi-Weekly,Aquarius,0,0,1.2,1
67631,1,20.0,R,0,0,1,1,1,Bi-Weekly,Taurus,0,0,0.0699999999999999,1
12770,0,45.0,O,45,3,1,1,0,na,Libra,0,0,0.8,0
47898,0,26.0,R,94,23,1,1,1,na,na,0,0,0.93,0
13549,1,22.0,R,0,3,1,1,0,Bi-Weekly,Taurus,0,0,1.33,0
67536,0,33.0,na,0,0,0,1,0,Monthly,Cancer,0,0,0.0,0
24021,0,30.0,R,8,23,1,1,0,Semi-Monthly,Aries,0,0,1.6,1
6692,1,23.0,R,4,14,1,0,1,Bi-Weekly,na,1,0,1.17,0
10449,0,32.0,R,91,4,1,1,0,Bi-Weekly,Sagittarius,1,0,1.93,1
41406,0,21.0,na,4,0,1,0,1,Bi-Weekly,Cancer,0,0,0.0699999999999999,0
7441,1,34.0,O,0,10,1,1,1,Bi-Weekly,Aquarius,0,0,2.23,0
68942,1,30.0,na,0,0,0,1,0,Bi-Weekly,Taurus,0,0,0.0,0
63496,1,30.0,na,0,0,0,1,0,Semi-Monthly,Virgo,0,0,0.0,0
43737,1,22.0,R,0,5,1,0,1,Bi-Weekly,Pisces,0,0,0.87,0
33949,1,40.0,R,81,15,1,1,1,na,Scorpio,0,0,1.37,0
51831,0,30.0,na,32,5,1,1,0,Weekly,na,0,0,1.1,0
59485,1,23.0,na,0,0,1,1,0,Weekly,Libra,0,0,0.0,0
5307,1,43.0,R,0,9,1,1,0,Bi-Weekly,Virgo,1,0,0.5700000000000001,0
59035,0,24.0,R,37,13,1,1,1,Bi-Weekly,Scorpio,0,0,0.96,0
62114,0,19.0,na,12,2,1,0,1,Bi-Weekly,Pisces,0,0,0.39,0
27116,0,22.0,na,33,5,1,0,1,Semi-Monthly,Pisces,0,0,0.5,1
59912,1,27.0,na,0,0,1,0,0,Bi-Weekly,Aquarius,0,0,0.0,0
38808,1,39.0,na,0,0,0,1,0,Bi-Weekly,Gemini,0,0,0.0,0
27065,0,23.0,R,71,8,1,0,1,na,Taurus,0,0,0.37,1
54544,0,30.0,R,35,3,1,0,0,Monthly,Capricorn,0,0,0.4,1
10583,0,41.0,O,8,24,1,1,1,Weekly,Scorpio,0,0,1.93,1
63152,0,32.0,na,7,0,1,1,0,Bi-Weekly,Aries,0,0,0.5700000000000001,0
17116,0,34.0,na,66,11,1,0,1,Bi-Weekly,na,0,0,1.3,1
16243,0,49.0,na,0,20,1,1,0,Bi-Weekly,Aries,0,0,2.23,0
44300,0,30.0,na,67,4,1,1,0,na,Gemini,0,0,0.96,0
43171,0,19.0,na,15,3,1,1,1,Bi-Weekly,Sagittarius,0,0,0.5,1
48124,0,36.0,R,80,18,1,0,0,Bi-Weekly,Cancer,0,0,0.96,1
24322,1,37.0,na,56,7,1,1,1,Bi-Weekly,Pisces,0,0,2.2,1
50549,1,28.0,na,0,0,1,1,0,Weekly,Leo,1,0,0.0,0
26639,0,18.0,na,39,1,1,0,1,Bi-Weekly,Gemini,1,0,0.63,1
10413,0,41.0,R,46,23,1,1,1,Bi-Weekly,Pisces,0,0,2.2,0
8635,0,20.0,R,97,9,1,0,1,Semi-Monthly,Leo,1,0,1.7,1
15316,0,28.0,na,32,0,1,1,1,Bi-Weekly,Scorpio,0,0,0.73,1
5743,1,27.0,O,0,12,1,0,1,Bi-Weekly,na,0,0,2.63,0
69379,0,33.0,na,0,0,1,0,1,Bi-Weekly,Scorpio,1,0,0.0699999999999999,0
57026,1,28.0,R,0,2,1,0,1,Bi-Weekly,Taurus,0,0,0.83,0
20522,1,50.0,O,0,4,1,1,1,Bi-Weekly,Virgo,0,0,2.43,0
58602,1,26.0,na,0,0,1,0,1,Monthly,Capricorn,1,0,0.0699999999999999,0
62375,0,21.0,na,4,0,1,1,0,Monthly,Cancer,0,0,0.05,0
7509,1,42.0,na,0,23,1,0,1,Bi-Weekly,Aries,0,0,1.53,0
600,0,35.0,na,0,8,1,1,1,na,Gemini,0,0,0.8,0
20777,0,23.0,R,6,0,1,0,1,Bi-Weekly,Virgo,0,0,0.03,0
16939,0,43.0,R,0,4,1,1,0,na,Scorpio,0,0,1.9,0
24508,0,22.0,na,14,0,1,0,1,Bi-Weekly,Libra,0,0,0.36,0
25290,0,45.0,O,63,4,1,1,1,Bi-Weekly,Aquarius,0,0,0.92,1
11254,1,29.0,R,0,4,1,0,1,Monthly,Taurus,1,0,2.23,0
59214,1,26.0,R,18,0,1,0,1,Monthly,Gemini,0,0,2.0,0
51805,0,35.0,na,7,0,1,0,0,Weekly,Gemini,0,0,0.5,0
29727,0,24.0,R,27,5,1,0,0,Weekly,Scorpio,0,0,1.67,0
20291,0,27.0,na,67,4,1,1,1,Semi-Monthly,Aries,0,0,1.23,1
13226,0,28.0,na,8,0,1,1,1,Monthly,Aries,0,0,1.9,0
56497,0,37.0,na,7,5,1,0,1,Bi-Weekly,Taurus,0,0,0.33,0
5037,0,26.0,na,21,0,1,0,0,Monthly,Aquarius,0,0,0.8099999999999998,0
34743,0,23.0,na,20,5,1,1,1,Bi-Weekly,Taurus,0,0,0.37,0
20599,1,30.0,R,0,4,1,1,0,Monthly,Capricorn,1,0,1.0699999999999998,1
36971,0,23.0,na,24,0,1,0,1,Weekly,Taurus,0,0,0.47,1
20592,0,42.0,O,0,12,1,1,1,na,Gemini,1,0,2.1,1
55165,1,24.0,na,0,0,1,0,1,Bi-Weekly,Pisces,0,0,0.0699999999999999,0
5175,0,45.0,na,74,10,1,1,0,Semi-Monthly,Virgo,0,0,1.13,0
29447,1,43.0,R,0,3,1,0,0,na,Aquarius,0,0,1.03,0
58049,1,35.0,na,1,0,1,0,0,na,Scorpio,0,0,0.43,0
169,0,49.0,O,0,5,1,1,0,na,Gemini,0,0,2.03,0
64125,1,29.0,na,0,0,1,1,1,Weekly,Libra,0,0,0.4,1
22481,0,33.0,R,59,10,1,1,1,Semi-Monthly,Capricorn,0,0,2.0,0
62429,0,35.0,R,0,0,0,1,0,Bi-Weekly,Virgo,0,0,0.0,0
40503,1,26.0,na,61,2,1,0,0,Bi-Weekly,Pisces,0,0,0.67,0
64190,1,29.0,na,2,0,1,1,1,Bi-Weekly,Scorpio,0,0,0.0699999999999999,0
28650,1,27.0,O,0,0,1,0,1,Weekly,Gemini,1,0,0.5,0
23458,0,36.0,na,25,3,1,1,0,na,Libra,0,0,0.3,0
13692,0,31.0,R,0,15,1,0,0,Bi-Weekly,Scorpio,0,0,1.5699999999999998,0
58268,0,28.0,R,26,2,1,1,1,Bi-Weekly,Libra,0,0,0.79,0
66475,1,21.0,na,2,0,1,0,1,na,Aries,0,0,0.0,0
49761,1,21.0,na,0,7,1,0,1,Bi-Weekly,Virgo,0,0,0.4,1
53213,1,41.0,R,6,7,1,1,1,Monthly,na,0,0,0.6,1
39178,1,24.0,na,32,3,1,1,1,Bi-Weekly,Aries,1,0,1.23,1
33183,0,35.0,R,82,5,1,1,1,Bi-Weekly,Pisces,0,0,1.47,1
1423,0,31.0,na,66,11,1,1,0,na,Leo,0,0,1.0,1
50214,1,29.0,na,35,3,1,0,0,Bi-Weekly,Aries,1,0,0.9,0
111,1,51.0,R,0,1,1,0,1,Weekly,Libra,1,0,0.0699999999999999,1
22489,1,41.0,R,15,2,1,1,1,Bi-Weekly,Taurus,1,0,0.35,1
6381,1,21.0,R,37,20,1,0,1,Bi-Weekly,Libra,1,0,1.67,0
1250,0,28.0,na,67,6,1,1,1,Bi-Weekly,Pisces,0,0,1.8,0
13380,0,24.0,R,60,8,1,1,1,Bi-Weekly,Gemini,1,0,1.1,0
28843,1,22.0,na,40,2,1,0,1,Weekly,Taurus,0,0,0.43,0
25535,0,30.0,na,0,9,1,1,0,Monthly,na,0,0,1.93,1
37893,1,20.0,na,66,3,1,0,1,Monthly,Leo,0,0,1.0699999999999998,1
49905,0,26.0,R,24,2,1,1,1,Monthly,Capricorn,0,0,0.87,1
26432,0,25.0,R,3,8,1,1,1,Bi-Weekly,Pisces,1,0,2.0,0
10422,1,21.0,R,25,4,1,0,1,na,na,0,0,0.33,1
60634,0,31.0,na,3,0,1,0,0,Monthly,Taurus,0,0,0.33,0
67488,0,35.0,na,0,0,1,1,1,Bi-Weekly,Leo,1,0,0.0,0
63303,0,21.0,R,3,2,1,0,1,Bi-Weekly,Libra,0,0,0.0699999999999999,1
46879,0,31.0,na,23,0,1,0,0,Semi-Monthly,na,0,0,0.9,0
16015,1,52.0,O,90,2,1,1,1,na,Leo,0,0,2.13,1
40871,1,24.0,R,1,4,1,1,1,Bi-Weekly,Scorpio,1,0,0.5700000000000001,0
8157,0,21.0,na,51,6,1,0,1,Bi-Weekly,Gemini,0,0,1.5,0
7445,0,27.0,R,87,9,1,1,0,Bi-Weekly,Taurus,1,0,1.8,0
28930,1,29.0,R,0,1,1,0,1,Bi-Weekly,Pisces,0,0,0.3,0
60106,1,55.0,R,0,0,1,1,0,Weekly,Sagittarius,0,0,0.0,0
63270,0,19.0,na,0,0,1,0,0,Bi-Weekly,Sagittarius,0,0,0.0,0
59285,1,32.0,na,0,0,0,1,0,Bi-Weekly,Capricorn,0,0,0.0,0
55703,0,40.0,na,35,1,1,1,1,Weekly,Gemini,0,0,0.77,0
19306,0,46.0,na,60,12,1,1,1,Bi-Weekly,Virgo,0,0,1.37,0
54059,1,47.0,na,3,1,1,1,0,Weekly,Pisces,0,0,0.0699999999999999,1
53961,0,40.0,O,57,2,1,0,0,Bi-Weekly,Pisces,1,0,1.23,0
44266,1,21.0,R,0,3,1,1,1,Bi-Weekly,na,0,0,0.53,0
15634,1,19.0,na,0,19,1,1,1,Weekly,Aquarius,0,0,1.4,0
67765,1,26.0,na,0,0,1,0,1,Bi-Weekly,Aquarius,0,0,0.0,0
13440,1,43.0,O,0,2,1,1,0,Weekly,Aries,0,0,0.1,0
26239,1,28.0,O,26,3,1,1,1,na,na,0,0,1.0,0
54796,1,23.0,R,0,1,1,1,1,Bi-Weekly,Cancer,0,0,0.33,0
44477,0,25.0,na,26,5,1,1,1,Bi-Weekly,Sagittarius,0,0,0.78,0
46926,1,22.0,na,0,0,1,0,1,Bi-Weekly,Taurus,1,0,0.0,0
44276,1,34.0,R,0,3,1,0,0,Bi-Weekly,Taurus,0,1,0.97,0
37531,1,40.0,na,51,6,1,1,1,Bi-Weekly,Scorpio,1,0,0.73,0
8359,0,31.0,R,0,26,1,1,1,Bi-Weekly,Taurus,0,0,2.13,1
25918,0,24.0,R,0,6,1,1,1,Bi-Weekly,Leo,0,0,0.73,0
27081,0,36.0,R,44,12,1,0,1,Weekly,Libra,0,0,1.4,0
38194,1,27.0,na,0,1,1,0,0,Weekly,Leo,0,0,0.4,0
27072,0,31.0,O,21,4,1,0,1,Monthly,Taurus,0,0,0.71,0
49131,1,30.0,R,0,23,1,1,0,Bi-Weekly,Aries,0,0,0.73,1
18591,1,27.0,na,2,2,1,1,1,Weekly,Capricorn,1,0,0.7,0
11293,1,20.0,R,56,4,1,0,1,Bi-Weekly,Cancer,0,0,1.13,1
41346,0,26.0,na,11,0,1,0,1,Bi-Weekly,Cancer,0,0,0.39,1
4267,0,52.0,na,66,4,1,1,0,Bi-Weekly,Scorpio,1,0,1.7,1
59350,1,42.0,na,0,0,0,1,0,Bi-Weekly,Leo,0,0,0.0,0
46517,1,27.0,na,10,0,1,0,1,Weekly,Taurus,1,0,0.23,0
38206,1,50.0,R,8,4,1,1,1,Weekly,Pisces,0,0,2.07,1
66655,0,42.0,na,0,0,0,1,0,Weekly,Leo,0,0,0.0,0
4609,0,35.0,R,2,6,1,0,1,Bi-Weekly,Taurus,0,0,0.97,0
17333,0,28.0,na,82,4,1,1,0,Bi-Weekly,Gemini,1,0,1.47,0
38802,1,28.0,R,0,0,0,1,0,na,Cancer,0,0,0.0,0
3250,0,39.0,na,0,25,1,0,0,Bi-Weekly,Gemini,0,0,2.17,0
29103,0,25.0,na,6,0,1,0,1,Bi-Weekly,Taurus,0,0,0.2,0
47212,1,33.0,R,5,3,1,1,0,Weekly,Leo,1,0,0.53,1
25373,0,41.0,O,13,4,1,1,1,Semi-Monthly,Taurus,0,0,0.33,0
22198,0,52.0,na,0,4,1,1,0,Bi-Weekly,Scorpio,0,0,2.03,0
60359,0,55.0,na,2,0,1,0,1,Bi-Weekly,Sagittarius,0,0,0.0,0
8162,0,48.0,R,2,4,1,1,0,Semi-Monthly,Pisces,0,0,2.5,1
11780,1,29.0,R,0,7,1,0,0,na,Cancer,0,0,2.07,0
67741,0,38.0,R,11,12,1,1,1,na,Pisces,0,0,0.75,1
35750,1,26.0,R,61,5,1,1,1,na,Libra,0,0,1.2,0
47255,0,20.0,na,34,2,1,1,1,Weekly,Cancer,0,0,0.3,1
18058,1,29.0,R,13,0,1,1,0,Monthly,Virgo,0,0,1.2,0
57655,1,30.0,O,39,26,1,1,1,Monthly,Virgo,0,0,0.63,1
16703,0,40.0,O,31,10,1,1,0,Bi-Weekly,Leo,1,0,1.83,1
9658,1,40.0,R,8,4,1,1,1,Bi-Weekly,Virgo,0,0,1.4300000000000002,1
40782,0,26.0,O,74,12,1,1,0,Monthly,Libra,0,0,1.1,0
50393,1,21.0,R,2,7,1,0,1,Weekly,Leo,0,0,0.8,1
29128,0,33.0,R,0,1,1,1,0,Weekly,Taurus,1,0,0.13,1
25083,1,29.0,na,25,10,1,0,0,Bi-Weekly,Cancer,0,0,0.4,1
51196,0,33.0,na,85,18,1,0,0,Bi-Weekly,Sagittarius,0,0,1.4,0
15918,0,19.0,R,50,4,1,1,1,Bi-Weekly,Sagittarius,0,0,1.4,0
16136,0,33.0,R,0,25,1,1,0,Bi-Weekly,Aries,0,0,2.27,0
33701,1,30.0,R,0,4,1,1,0,Monthly,Taurus,0,0,1.97,0
24530,0,28.0,R,8,5,1,0,1,Bi-Weekly,Aries,0,0,2.17,0
41519,1,19.0,na,1,1,1,1,0,Weekly,Scorpio,1,0,0.0699999999999999,0
43183,0,33.0,R,42,0,1,0,1,Monthly,Pisces,1,0,0.77,0
29298,1,35.0,R,33,6,1,0,0,Weekly,Cancer,0,0,0.3,1
35325,0,21.0,na,8,0,1,0,1,Monthly,Scorpio,0,0,0.33,0
23578,0,27.0,na,22,2,1,0,0,Bi-Weekly,Taurus,0,0,0.87,1
15592,1,36.0,R,0,9,1,1,1,Bi-Weekly,Sagittarius,0,0,2.13,0
26125,1,27.0,R,0,2,1,0,1,Monthly,Taurus,0,0,1.23,0
67362,1,21.0,R,4,0,1,0,0,Bi-Weekly,Scorpio,0,0,0.5,0
17097,1,33.0,R,0,4,1,1,0,Weekly,Cancer,0,0,1.63,0
23831,1,52.0,na,0,19,1,0,1,Semi-Monthly,Taurus,0,0,2.17,0
14320,0,50.0,na,21,3,1,0,1,Bi-Weekly,Gemini,0,0,0.61,0
65381,0,23.0,na,1,0,1,0,1,Weekly,Taurus,0,0,0.03,0
31022,0,21.0,R,88,8,1,1,1,Bi-Weekly,Cancer,0,0,1.5,1
4857,1,30.0,R,59,5,1,1,0,na,Aquarius,0,0,0.67,1
2312,1,28.0,na,28,24,1,1,0,Monthly,na,0,0,0.53,1
20716,0,21.0,R,47,10,1,1,1,na,Scorpio,0,0,0.43,1
64437,1,30.0,na,0,0,1,0,0,Weekly,Pisces,0,0,0.13,0
48141,1,38.0,R,19,5,1,1,0,na,Taurus,0,0,0.87,1
67215,1,23.0,na,0,0,1,1,1,Bi-Weekly,Leo,0,0,0.0,0
20576,0,31.0,R,54,18,1,0,1,Weekly,Taurus,0,0,1.6,1
12029,0,27.0,R,0,15,1,1,0,Bi-Weekly,na,0,0,1.2,1
28200,1,25.0,na,0,4,1,1,1,Weekly,Sagittarius,0,0,0.7,0
27844,0,22.0,R,87,6,1,0,0,Bi-Weekly,Taurus,0,0,1.7,0
11876,1,30.0,na,8,14,1,0,0,Monthly,Pisces,0,0,0.8,1
6815,1,27.0,R,1,18,1,1,1,Bi-Weekly,Aquarius,1,0,1.8,0
42652,1,25.0,R,8,8,1,0,0,Weekly,Virgo,0,0,2.23,0
68041,1,27.0,R,28,0,1,0,1,Monthly,Aquarius,0,0,0.5,0
1196,1,26.0,R,0,20,1,1,1,Weekly,Pisces,0,0,2.07,0
25166,1,32.0,R,0,3,1,1,0,Semi-Monthly,Cancer,1,0,0.43,0
32648,0,24.0,R,8,4,1,0,1,Bi-Weekly,Scorpio,0,0,2.13,1
50749,0,31.0,na,15,8,1,1,1,Bi-Weekly,Leo,0,0,0.58,1
50743,0,42.0,na,35,3,1,1,1,Bi-Weekly,Scorpio,0,0,0.5700000000000001,0
33344,0,29.0,R,9,1,1,0,1,Semi-Monthly,Leo,0,0,0.23,0
69267,1,51.0,na,0,0,0,1,0,na,Libra,0,0,0.0,0
17639,1,24.0,R,9,3,1,1,0,Bi-Weekly,Pisces,0,0,0.13,0
3975,1,22.0,R,0,3,1,1,1,Bi-Weekly,Virgo,0,0,2.07,1
11645,0,24.0,R,52,4,1,1,1,Bi-Weekly,Taurus,0,0,1.5,0
59346,1,19.0,na,0,0,0,1,0,Bi-Weekly,Taurus,0,0,0.0,0
19989,0,27.0,R,64,7,1,1,0,Monthly,Pisces,0,0,1.1,1
2032,0,24.0,R,8,4,1,1,1,Weekly,Taurus,0,0,2.07,0
807,0,24.0,R,58,3,1,0,1,na,na,0,0,1.53,0
16934,1,28.0,na,58,8,1,0,0,na,Pisces,0,0,1.83,1
51776,1,31.0,na,0,1,1,1,1,na,Virgo,0,0,0.13,0
59940,1,33.0,na,0,0,0,1,0,Weekly,Sagittarius,0,0,0.0,0
58977,0,34.0,na,0,2,1,0,1,Bi-Weekly,Taurus,0,0,0.73,0
66832,0,17.0,na,0,0,0,1,0,Bi-Weekly,Libra,1,0,0.0,0
14347,0,48.0,na,59,18,1,1,0,Weekly,Cancer,0,0,1.47,1
68238,1,27.0,R,4,0,1,1,1,na,Taurus,0,0,0.0699999999999999,0
31280,1,36.0,na,0,5,1,1,1,Bi-Weekly,Libra,0,0,1.47,1
7545,1,30.0,na,8,8,1,1,0,Bi-Weekly,Leo,0,0,1.83,1
40268,0,33.0,R,101,6,1,1,1,Bi-Weekly,Virgo,0,0,1.5699999999999998,0
31953,0,51.0,R,62,10,1,1,0,Bi-Weekly,Pisces,0,0,1.4,1
4984,1,26.0,na,1,1,1,0,1,Bi-Weekly,Virgo,1,0,0.0,0
17808,0,29.0,na,7,12,1,0,1,Bi-Weekly,na,0,0,1.77,0
31470,0,32.0,na,65,14,1,1,0,Semi-Monthly,Leo,1,0,1.0699999999999998,1
48371,0,30.0,R,96,23,1,1,1,Bi-Weekly,Cancer,1,0,2.23,1
4968,0,27.0,R,29,10,1,0,0,Weekly,Capricorn,0,0,0.5,1
41893,0,48.0,na,0,0,1,1,0,Weekly,Libra,0,0,0.0,0
21842,0,18.0,O,8,11,1,1,1,na,Scorpio,0,0,1.77,1
28851,0,20.0,na,28,6,1,0,1,na,Capricorn,0,0,0.43,1
20623,0,29.0,R,26,1,1,1,0,na,Taurus,0,0,0.43,0
33913,0,30.0,O,24,9,1,1,0,Monthly,Aquarius,0,0,0.65,1
1735,0,32.0,O,8,4,1,1,0,Semi-Monthly,Sagittarius,0,0,2.2,1
8616,0,38.0,O,8,6,1,0,1,Semi-Monthly,Cancer,0,0,1.67,1
2742,0,21.0,R,0,14,1,1,1,na,Virgo,0,0,2.23,1
60827,1,26.0,na,0,0,1,0,0,Weekly,Libra,0,0,0.2,0
1129,1,22.0,na,9,2,1,1,1,Weekly,Pisces,0,0,0.8800000000000002,0
2821,1,37.0,na,59,13,1,1,0,Bi-Weekly,Capricorn,0,0,0.8,0
48952,0,37.0,na,90,5,1,1,1,Monthly,Gemini,1,0,2.03,1
49313,0,23.0,O,15,8,1,1,0,Bi-Weekly,Aquarius,1,0,0.8,0
29765,0,23.0,na,18,3,1,1,1,Bi-Weekly,Leo,0,0,0.4,0
13676,0,23.0,R,8,4,1,1,1,na,Leo,0,0,2.03,1
30825,1,24.0,na,0,0,1,1,1,Weekly,Pisces,0,0,0.33,0
50618,0,24.0,R,19,4,1,1,1,Bi-Weekly,Aquarius,0,0,0.63,0
68689,0,23.0,R,8,0,1,0,1,Bi-Weekly,na,0,0,0.5,0
57073,1,25.0,R,13,4,1,0,1,Semi-Monthly,Leo,0,0,0.77,0
3871,1,52.0,na,0,24,1,1,0,Monthly,Scorpio,0,0,1.87,1
24291,1,24.0,R,0,2,1,1,1,Weekly,Leo,0,0,1.0699999999999998,1
13377,1,33.0,na,70,2,1,0,1,Bi-Weekly,Libra,0,0,0.27,0
67504,1,41.0,R,0,0,0,1,0,Monthly,Gemini,0,0,0.0,0
